Date,DBC,EEM,EFA,EURUSD=X,FXI,GLD,IWM,JPYUSD=X,QQQ,SHY,SLV,SPY,TLT,UUP,VIX,XLE,XLF,XLI,XLK,XLV,^XDE
2015-12-11,11.823753356933594,25.242088317871094,43.52338790893555,1.0948106050491333,26.84297752380371,103.11000061035156,98.48684692382812,0.008216251619160175,102.98323059082031,70.95161437988281,13.300000190734863,171.06431579589844,95.6507339477539,21.900667190551758,6530.60986328125,40.60115051269531,15.821025848388672,44.12334060668945,38.156925201416016,59.7920036315918,109.94999694824219
2015-12-14,11.74510383605957,25.65012550354004,43.59071731567383,1.0983941555023193,27.239442825317383,101.79000091552734,97.78282165527344,0.008271778002381325,103.76402282714844,70.86775207519531,13.0600004196167,171.92864990234375,94.41413116455078,21.943859100341797,6439.91015625,40.8160400390625,15.854759216308594,44.28269958496094,38.451133728027344,60.183258056640625,109.95999908447266
2015-12-15,11.718886375427246,26.042156219482422,43.807708740234375,1.0992997884750366,27.705873489379883,101.5199966430664,99.19084930419922,0.008258320391178131,104.39613342285156,70.85933685302734,13.109999656677246,173.73353576660156,93.85767364501953,22.064815521240234,6712.02001953125,41.84349822998047,16.225830078125,44.291080474853516,38.620513916015625,60.96574401855469,109.30999755859375
2015-12-16,11.666454315185547,26.55419921875,44.69059753417969,1.0936251878738403,28.195627212524414,102.75,100.70454406738281,0.00821861531585455,105.94843292236328,70.80065155029297,13.489999771118164,176.2755584716797,93.65674591064453,22.064815521240234,6621.31982421875,41.56816482543945,16.48894500732422,45.079444885253906,39.146522521972656,61.756717681884766,109.0999984741211
2015-12-17,11.544108390808105,26.21017074584961,44.121952056884766,1.087453007698059,27.853572845458984,100.5,99.63087463378906,0.008165732026100159,104.40541076660156,70.80065155029297,13.079999923706055,173.5894317626953,94.71553802490234,22.272159576416016,6621.31982421875,40.54743194580078,16.252819061279297,44.333011627197266,38.5313606262207,61.093318939208984,108.33999633789062
2015-12-18,11.596542358398438,26.122161865234375,43.658058166503906,1.0844104290008545,28.117887496948242,102.04000091552734,98.10840606689453,0.008166599087417126,102.40265655517578,70.8929214477539,13.430000305175781,170.49696350097656,95.24109649658203,22.142566680908203,6530.60986328125,39.8372802734375,15.81832504272461,43.65715026855469,37.78410339355469,60.207611083984375,108.69000244140625
2015-12-21,11.544108390808105,26.32610511779785,43.860347747802734,1.0869920253753662,28.41578483581543,103.1500015258789,98.84765625,0.008244022727012634,103.54020690917969,70.8844985961914,13.59000015258789,171.90341186523438,95.21790313720703,22.064815521240234,6439.91015625,39.877933502197266,15.974466323852539,43.99465560913086,38.16938018798828,60.75421905517578,109.1500015258789
2015-12-22,11.49167537689209,26.537372589111328,44.19245147705078,1.09129798412323,28.463443756103516,102.61000061035156,99.7541275024414,0.00825041625648737,104.22078704833984,70.86775207519531,13.59000015258789,173.46328735351562,94.53005981445312,22.030258178710938,6439.91015625,40.345489501953125,16.123830795288086,44.602176666259766,38.4471321105957,61.16421890258789,109.5199966430664
2015-12-23,11.701410293579102,26.9111328125,44.9321403503418,1.0950024127960205,29.035419464111328,102.30999755859375,101.01258850097656,0.00826241448521614,104.99468231201172,70.84255981445312,13.619999885559082,175.61134338378906,93.81900024414062,22.064815521240234,6349.2099609375,42.100528717041016,16.31391716003418,45.12532424926758,38.76968765258789,61.8219108581543,109.16000366210938
2015-12-24,11.701410293579102,26.81363296508789,44.85666275024414,1.0909169912338257,28.96392059326172,103.05000305175781,101.20349884033203,0.008268904872238636,104.97600555419922,70.87026977539062,13.6899995803833,175.32151794433594,94.3565673828125,22.012977600097656,6349.2099609375,41.721065521240234,16.300338745117188,45.108436584472656,38.75177001953125,61.88168716430664,109.6500015258789
2015-12-25,,,,1.0969964265823364,,,,0.008321544155478477,,,,,,,,,,,,,
2015-12-28,11.535369873046875,26.626745223999023,44.75098419189453,1.0965994596481323,28.495220184326172,102.2699966430664,100.73505401611328,0.008317322470247746,104.92010498046875,70.82833862304688,13.289999961853027,174.92091369628906,94.63534545898438,21.987060546875,6077.10009765625,40.96212387084961,16.286758422851562,45.00718688964844,38.72489547729492,61.59128952026367,109.68000030517578
2015-12-29,11.727624893188477,26.651123046875,45.196311950683594,1.0975261926651,28.590553283691406,102.19999694824219,101.82223510742188,0.00830909889191389,106.57039642333984,70.81153106689453,13.270000457763672,176.78761291503906,93.0630874633789,22.047534942626953,6167.7998046875,41.246726989746094,16.45648765563965,45.43751525878906,39.2535285949707,62.34291076660156,109.20999908447266
2015-12-30,11.614019393920898,26.23672866821289,44.924583435058594,1.0928006172180176,28.129804611206055,101.41999816894531,100.79692840576172,0.008296758867800236,105.6100082397461,70.82833862304688,13.210000038146973,175.5346221923828,92.97016906738281,22.047534942626953,6258.5,40.69107437133789,16.341075897216797,45.057823181152344,38.92200469970703,62.07813262939453,109.30000305175781
2015-12-31,11.675191879272461,26.15547752380371,44.320762634277344,1.093398094177246,28.03447914123535,101.45999908447266,99.54182434082031,0.008302200585603714,104.29539489746094,70.79473114013672,13.1899995803833,173.7786865234375,93.3884048461914,22.15984535217285,6167.7998046875,40.87404251098633,16.17814064025879,44.72874069213867,38.375457763671875,61.52295684814453,108.58999633789062
2016-01-01,,,,1.0859060287475586,,,,0.008313381113111973,,,,,,,,,,,,,
2016-01-04,11.58780288696289,25.440448760986328,43.64146423339844,1.0853991508483887,27.128854751586914,102.88999938964844,97.23493957519531,0.008311792276799679,102.0949935913086,70.88703918457031,13.1899995803833,171.349365234375,94.06220245361328,22.19440269470215,6077.10009765625,40.8604850769043,15.865845680236816,44.12965774536133,37.87370681762695,60.412593841552734,108.31999969482422
2016-01-05,11.474197387695312,25.49732208251953,43.57353210449219,1.0827549695968628,26.97791862487793,103.18000030517578,97.4470443725586,0.008370512165129185,101.9178237915039,70.84510803222656,13.3100004196167,171.63916015625,93.68270111083984,22.323991775512695,5895.68994140625,41.01633834838867,15.926947593688965,44.24778366088867,37.775142669677734,60.702964782714844,107.48999786376953
